DepartmentID,Game Score,Total Score,Month,Year,Weeks Completed,Max Weeks,Yearly Score,Week 1,Week 2,Week 3,Week 4,Week 5
elate,74.52,372.6,7,2026,4,5,93.2,95.6,71.0,102.2,103.8,0.0
nectar,74.84,374.2,7,2026,4,5,93.6,104.0,105.0,104.2,61.0,0.0
pier-top,48.00,240,7,2026,4,5,60.0,43.0,73.0,49.0,75.0,0.0
pool,50.64,253.2,7,2026,4,5,63.3,95.2,31.0,52.0,75.0,0.0
spa,54.64,273.2,7,2026,4,5,68.3,60.0,75.0,103.2,35.0,0.0
windows,85.20,426,7,2026,4,5,106.5,108.0,104.0,106.0,108.0,0.0
calusso,65.93,329.6666667,7,2026,4,5,82.4,106.7,75.0,75.0,73.0,0.0
reservations,61.00,305,7,2026,4,5,76.3,30.0,73.0,101.0,101.0,0.0
ird,81.72,408.6,7,2026,4,5,102.2,104.8,103.6,104.6,95.6,0.0
garni,74.84,374.2,7,2026,4,5,93.6,94.6,103.6,103.0,73.0,0.0
sotogrande,47.20,236,7,2026,4,5,59.0,61.0,40.0,70.0,65.0,0.0
saltbreeze,54.20,271,7,2026,4,5,67.8,103.0,63.0,75.0,30.0,0.0
saltbreeze-boh,72.40,362,7,2026,4,5,90.5,83.0,103.0,73.0,103.0,0.0
windows-ird-boh,72.40,362,7,2026,4,5,90.5,103.0,73.0,103.0,83.0,0.0
security,73.60,368,7,2026,4,5,92.0,100.0,80.0,105.0,83.0,0.0
guest-services,74.40,372,7,2026,4,5,93.0,103.0,103.0,83.0,83.0,0.0
bell-service,70.40,352,7,2026,4,5,88.0,83.0,103.0,83.0,83.0,0.0
pastry,78.60,393,7,2026,4,5,98.3,105.0,100.0,105.0,83.0,0.0
stewarding,69.00,345,7,2026,4,5,86.3,105.0,50.0,105.0,85.0,0.0
housekeeping,47.00,235,7,2026,4,5,58.8,50.0,50.0,50.0,85.0,0.0
engineering,81.00,405,7,2026,4,5,101.3,100.0,100.0,100.0,105.0,0.0
front-office,70.40,352,7,2026,4,5,88.0,83.0,103.0,83.0,83.0,0.0
banquets-foh,75.20,376,7,2026,4,5,94.0,103.0,100.0,103.0,70.0,0.0
sotogrande-boh,79.00,395,7,2026,4,5,98.8,105.0,105.0,105.0,80.0,0.0
banquets-boh,30.00,150,7,2026,3,5,37.5,20.0,0.0,50.0,80.0,0.0
pier-top-boh,30.00,150,7,2026,4,5,37.5,20.0,30.0,50.0,50.0,0.0
garni-boh,64.40,322,7,2026,4,5,80.5,83.0,53.0,103.0,83.0,0.0
calusso-boh,53.00,265,7,2026,3,5,66.3,0.0,75.0,105.0,85.0,0.0
